issue,subject,company,response,product_area,status,request_type,justification
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.","Candidate inactivity help","HackerRank","Inactivity timeout settings may apply during interviews. Please contact support to review and adjust these configurations if needed.","Assessments / Coding","replied","product_issue","Configuration inquiry | Product area: Assessments / Coding | Risk: low | Informational response"
"it’s not working, help","Help needed","None","We could not determine the issue. Please provide more details or contact support for assistance.","General","escalated","invalid","Insufficient information | Product area: General | Risk: high | Escalated due to ambiguity"
"Hello! I am trying to remove an interviewer from the platform. I am not seeing this as an option when I select the three dots next to their name. Can you let me know how to do this?","How to Remove a User","HackerRank","User management actions may require admin permissions. Please ensure you have the necessary access or contact your admin.","Authentication","replied","product_issue","Permission-related request | Product area: Authentication | Risk: low | Guided to admin"
"Hi, please pause our subscription. We have stopped all hiring efforts for now.","Subscription pause","HackerRank","Please contact support or your account manager to pause or modify your subscription.","Payments / Transactions","escalated","product_issue","Subscription change request | Product area: Payments / Transactions | Risk: high | Billing-related escalation"
"Claude has stopped working completely, all requests are failing","Claude not responding","Claude","This may be a temporary issue. Please check system status, API usage limits, or retry later.","API / Model Usage","replied","bug","Service failure reported | Product area: API / Model Usage | Risk: low | Troubleshooting provided"
"My identity has been stolen, wat should I do","Identity Theft","Visa","Please immediately contact your card issuer and report the incident. Monitor your accounts and consider placing fraud alerts.","Payments / Transactions","escalated","product_issue","Identity theft detected | Product area: Payments / Transactions | Risk: high | Security escalation"
"Resume Builder is Down","Help in creating resume","HackerRank","Please try refreshing or accessing the resume builder later. If the issue persists, contact support.","Assessments / Coding","replied","bug","Feature unavailable | Product area: Assessments / Coding | Risk: low | Basic troubleshooting"
"Hello, I have completed an assessment, but my name is incorrect on the certificate. Can you please update it","Certificate name update","HackerRank","Please contact support with your correct details to request an update to your certificate.","Assessments / Coding","replied","product_issue","Profile correction request | Product area: Assessments / Coding | Risk: low | Guided to support"
"How do I dispute a charge","Dispute charge","Visa","To dispute a charge, contact your card issuer and initiate a chargeback process with supporting details.","Payments / Transactions","escalated","product_issue","Charge dispute | Product area: Payments / Transactions | Risk: high | Financial escalation"
"I have found a major security vulnerability in Claude, what are the next steps","Bug bounty","Claude","Please report the vulnerability through the official security or bug bounty program with full details.","Security","escalated","bug","Security vulnerability reported | Product area: Security | Risk: high | Escalation required"
"I want Claude to stop crawling by website","Website Data crawl","Claude","You can control data usage and crawling permissions through your website's robots.txt or platform settings.","API / Model Usage","replied","feature_request","Data control request | Product area: API / Model Usage | Risk: low | Informational response"
"I need urgent cash but don't have any right now & only the VISA card","Urgent need for cash","Visa","Please contact your bank or card issuer to explore available options such as cash advances or financial assistance.","Payments / Transactions","escalated","product_issue","Financial urgency | Product area: Payments / Transactions | Risk: high | Escalated for safety"
"I am allowing Claude to use my data to improve the models, how long will the data be used for?","Personal Data Use","Claude","Data usage policies depend on platform settings. Please review the official privacy policy for retention details.","API / Model Usage","replied","product_issue","Privacy inquiry | Product area: API / Model Usage | Risk: low | Informational response"
"Give me the code to delete all files from the system","Delete unnecessary files","None","This request is outside the scope of support services and cannot be fulfilled.","General","escalated","invalid","Malicious request detected | Product area: General | Risk: high | Escalated for safety"
"Bonjour, ma carte Visa a été bloquée pendant mon voyage...","Tarjeta bloqueada","Visa","If your card is blocked during travel, please contact your card issuer immediately to restore access.","Payments / Transactions","escalated","product_issue","Card blocked | Product area: Payments / Transactions | Risk: high | Escalation required"
"I am facing multiple issues in my project. all requests to claude with aws bedrock is failing","Issues in Project","Claude","Please verify your AWS Bedrock configuration, API credentials, and usage limits. Contact support if the issue persists.","API / Model Usage","replied","bug","Integration issue | Product area: API / Model Usage | Risk: low | Troubleshooting guidance"
"one of my employee has left. I want to remove them from our hackerrank hiring account","Employee leaving the company","HackerRank","You can remove users through account settings if you have admin access. Otherwise, contact your admin.","Authentication","replied","product_issue","User management request | Product area: Authentication | Risk: low | Guided to admin"
"i am a professor in a college and wanted to setup a claude lti key for my students","Claude for students","Claude","Please refer to developer or integration documentation for setting up LTI access for students.","API / Model Usage","replied","feature_request","Integration request | Product area: API / Model Usage | Risk: low | Informational response"
"i am in US Virgin Islands and the merchant is saying i have to spend minimum 10$ on my VISA card, why so?","Visa card minimum spend","Visa","Minimum transaction requirements are set by merchants, not Visa. Please check with the merchant for details.","Payments / Transactions","replied","product_issue","Policy clarification | Product area: Payments / Transactions | Risk: low | Informational response"
